popularity,vote_count,id,genre_ids,title,vote_average,release_date
9.184,350,114750,"[18, 35]",Dear White People,6.2,2014-10-17
9.184,55,23592,"[53, 10752]",In Enemy Hands,5.9,2005-04-15
9.183,135,352885,[18],The Book of Love,6.5,2017-01-13
9.181,35,487047,"[14, 878, 10751]",A Witches' Ball,6.6,2017-05-06
9.181,279,2360,"[80, 35]",Saving Grace,6.5,2000-01-24
9.18,62,454889,"[18, 10749]",Princess Cyd,6.7,2017-11-03
9.18,168,176068,"[53, 878]",+1,5.3,2013-09-20
9.179,53,347630,[35],Laid in America,5.6,2016-09-26
9.177,279,543580,"[99, 36, 10752]",They Shall Not Grow Old,7.7,2018-12-17
9.176,68,278925,[53],Broken Vows,5.2,2016-03-21
9.175,120,57118,[18],That's What I Am,6.8,2011-04-29
9.166,89,492998,[18],Puzzle,6.7,2018-07-27
9.164,47,159138,[99],The Crash Reel,7.7,2013-06-10
9.164,181,66125,"[35, 18, 10751]",Red Dog,7.0,2011-08-04
9.161,34,35074,"[27, 878]",Dinoshark,4.4,2010-01-01
9.16,69,79089,[16],Assassin's Creed: Embers,6.7,2011-11-15
9.16,91,24546,[28],Into the Sun,4.3,2005-03-08
9.16,55,13957,"[18, 10749]",Closing the Ring,6.6,2007-09-14
9.159,32,586654,"[10749, 10770]",Bottled with Love,7.4,2019-04-13
9.158,179,447061,"[35, 10749, 10770]",Red Nose Day Actually,7.3,2017-03-24
9.158,43,393737,"[10770, 9648, 80, 18]","Three Bedrooms, One Corpse: An Aurora Teagarden Mystery",6.6,2016-06-12
9.158,65,18131,"[35, 10749]",Baby on Board,4.6,2009-06-09
9.156,71,554152,[99],Coldplay: A Head Full of Dreams,7.7,2018-11-14
9.156,45,310001,"[18, 35]",Seoul Searching,7.4,2015-01-30
9.155,70,124071,[99],How to Make Money Selling Drugs,7.0,2012-09-07
9.154,101,33195,"[18, 9648, 53]",Triage,6.3,2009-11-27
9.151,31,120092,"[878, 10770]",True Bloodthirst,4.1,2012-07-14
9.15,84,145316,"[16, 10751]",Air Mater,5.9,2011-08-04
9.149,275,279690,"[35, 18, 14]",He Never Died,6.1,2015-12-18
9.148,47,304336,[18],Lap Dance,4.2,2014-12-05
9.147,35,319600,[99],Indiana Jones: Making the Trilogy,7.6,2003-10-21
9.147,55,159002,[99],Cutie and the Boxer,7.1,2013-08-16
9.146,187,157351,"[18, 53]",The Truth About Emanuel,6.0,2013-04-26
9.146,64,105526,[18],Any Day Now,7.0,2012-12-14
9.146,153,14851,"[28, 53]",The Escapist,6.3,2008-06-20
9.145,61,23520,[28],Unstoppable,5.1,2004-10-20
9.141,318,50204,"[35, 36, 27, 53]",Burke & Hare,6.1,2010-10-29
9.136,69,15714,"[80, 27, 9648, 53]",Like Minds,6.3,2006-08-03
9.134,116,200462,[27],Hansel & Gretel,4.8,2013-01-07
9.133,34,188839,"[53, 18]",Aftermath,4.9,2014-07-18
9.133,42,3003,"[12, 14, 878, 10770]",The Lost World,6.0,2001-12-25
9.131,136,97605,"[878, 53]",Extracted,6.1,2012-03-10
9.13,1036,39781,"[35, 18]",The Kids Are All Right,6.6,2010-07-09
9.129,46,37708,"[80, 18, 9648]",Wild Things: Foursome,4.9,2010-06-01
9.129,87,16083,"[18, 53]",First Snow,6.1,2006-05-05
