movie,franchise
"Dec 25, 2020",DC Extended Universe
Wonder Woman 1984,DC Extended Universe
"Aug 23, 2020",DC Extended Universe
Superman: Man of Tomorrow,DC Extended Universe
"Aug 4, 2020",DC Extended Universe
Deathstroke: Knights & Dragons,DC Extended Universe
"Apr 28, 2020",DC Extended Universe
LEGO DC: Shazam â Magic & M…,DC Extended Universe
"Feb 7, 2020",DC Extended Universe
Birds of Prey (And the Fant…,DC Extended Universe
"Apr 5, 2019",DC Extended Universe
Shazam!,DC Extended Universe
"Dec 21, 2018",DC Extended Universe
Aquaman,DC Extended Universe
"Nov 17, 2017",DC Extended Universe
Justice League,DC Extended Universe
"Jun 2, 2017",DC Extended Universe
Wonder Woman,DC Extended Universe
"Aug 5, 2016",DC Extended Universe
Suicide Squad,DC Extended Universe
"Mar 25, 2016",DC Extended Universe
Batman v Superman: Dawn of …,DC Extended Universe
"Jun 14, 2013",DC Extended Universe
Man of Steel,DC Extended Universe
"Jul 29, 2022",Indiana Jones
Indiana Jones 5,Indiana Jones
"May 22, 2008",Indiana Jones
Indiana Jones and the Kingd…,Indiana Jones
"May 24, 1989",Indiana Jones
Indiana Jones and the Last …,Indiana Jones
"May 23, 1984",Indiana Jones
Indiana Jones and the Templ…,Indiana Jones
"Jun 12, 1981",Indiana Jones
Raiders of the Lost Ark,Indiana Jones
"Aug 23, 2020",Superman
Superman: Man of Tomorrow,Superman
"Mar 25, 2016",Superman
Batman v Superman: Dawn of …,Superman
"Jun 14, 2013",Superman
Man of Steel,Superman
Justice League - The New Fr…,Superman
"Jun 28, 2006",Superman
Superman Returns,Superman
"Jul 24, 1987",Superman
Superman IV: The Quest for …,Superman
"Nov 21, 1984",Superman
Supergirl,Superman
"Jun 17, 1983",Superman
Superman III,Superman
"Jun 19, 1981",Superman
Superman II,Superman
"Dec 15, 1978",Superman
Superman,Superman
"May 28, 2021",Fast and the Furious
F9: The Fast Saga,Fast and the Furious
"Aug 2, 2019",Fast and the Furious
Fast & Furious Presents: Ho…,Fast and the Furious
"Apr 14, 2017",Fast and the Furious
The Fate of the Furious,Fast and the Furious
"Apr 3, 2015",Fast and the Furious
Furious 7,Fast and the Furious
"May 24, 2013",Fast and the Furious
Fast and Furious 6,Fast and the Furious
"Apr 29, 2011",Fast and the Furious
Fast Five,Fast and the Furious
"Apr 3, 2009",Fast and the Furious
Fast & Furious,Fast and the Furious
"Jun 16, 2006",Fast and the Furious
The Fast and the Furious: T…,Fast and the Furious
"Jun 6, 2003",Fast and the Furious
2 Fast 2 Furious,Fast and the Furious
"Jun 22, 2001",Fast and the Furious
The Fast and the Furious,Fast and the Furious
"Sep 23, 2022",Shrek
Shrek 5,Shrek
"Oct 28, 2011",Shrek
Puss in Boots,Shrek
"May 21, 2010",Shrek
Shrek Forever After,Shrek
Shrek the Halls,Shrek
"May 17, 2007",Shrek
Shrek the Third,Shrek
"May 19, 2004",Shrek
Shrek 2,Shrek
"May 18, 2001",Shrek
Shrek,Shrek
"Nov 21, 2018",Rocky
Creed II,Rocky
"Nov 25, 2015",Rocky
Creed,Rocky
"Dec 20, 2006",Rocky
Rocky Balboa,Rocky
"Nov 16, 1990",Rocky
Rocky V,Rocky
"Nov 27, 1985",Rocky
Rocky IV,Rocky
"May 28, 1982",Rocky
Rocky III,Rocky
"Jun 15, 1979",Rocky
Rocky 2,Rocky
Rocky,Rocky
"May 26, 2017",Pirates of the Caribbean
Pirates of the Caribbean: D…,Pirates of the Caribbean
"May 20, 2011",Pirates of the Caribbean
Pirates of the Caribbean: O…,Pirates of the Caribbean
"May 24, 2007",Pirates of the Caribbean
Pirates of the Caribbean: A…,Pirates of the Caribbean
"Jul 7, 2006",Pirates of the Caribbean
Pirates of the Caribbean: D…,Pirates of the Caribbean
"Jul 9, 2003",Pirates of the Caribbean
Pirates of the Caribbean: T…,Pirates of the Caribbean
"Dec 21, 2018",Transformers
Bumblebee,Transformers
"Jun 21, 2017",Transformers
Transformers: The Last Knight,Transformers
"Jun 27, 2014",Transformers
Transformers: Age of Extinc…,Transformers
"Jun 29, 2011",Transformers
Transformers: Dark of the Moon,Transformers
"Jun 24, 2009",Transformers
Transformers: Revenge of th…,Transformers
"Jul 2, 2007",Transformers
Transformers,Transformers
"Aug 8, 1986",Transformers
The Transformers: The Movie,Transformers
"Jun 21, 2019",Toy Story
Toy Story 4,Toy Story
"Jun 18, 2010",Toy Story
Toy Story 3,Toy Story
"Oct 2, 2009",Toy Story
Toy Story 3D Double Feature,Toy Story
"Nov 19, 1999",Toy Story
Toy Story 2,Toy Story
"Nov 22, 1995",Toy Story
Toy Story,Toy Story
"Sep 29, 2020",Jaws
Cruel Jaws,Jaws
"Jul 17, 1987",Jaws
Jaws 4: The Revenge,Jaws
"Jul 22, 1983",Jaws
Jaws 3-D,Jaws
"Jun 16, 1978",Jaws
Jaws 2,Jaws
Jaws,Jaws
"Nov 20, 2015",Hunger Games
The Hunger Games: Mockingja…,Hunger Games
"Nov 21, 2014",Hunger Games
The Hunger Games: Mockingja…,Hunger Games
"Nov 22, 2013",Hunger Games
The Hunger Games: Catching …,Hunger Games
"Mar 23, 2012",Hunger Games
The Hunger Games,Hunger Games
"Nov 16, 2012",Twilight
The Twilight Saga: Breaking…,Twilight
"Nov 18, 2011",Twilight
The Twilight Saga: Breaking…,Twilight
"Jun 30, 2010",Twilight
The Twilight Saga: Eclipse,Twilight
"Jun 29, 2010",Twilight
The Twilight Saga: Twilight…,Twilight
"Nov 20, 2009",Twilight
The Twilight Saga: New Moon,Twilight
"Nov 21, 2008",Twilight
Twilight,Twilight
"Nov 4, 2022",Mission: Impossible
Mission: Impossible 8,Mission: Impossible
"Nov 19, 2021",Mission: Impossible
Mission: Impossible 7,Mission: Impossible
"Jul 27, 2018",Mission: Impossible
Mission: ImpossibleâFallout,Mission: Impossible
"Jul 31, 2015",Mission: Impossible
Mission: ImpossibleâRogue N…,Mission: Impossible
"Dec 16, 2011",Mission: Impossible
Mission: ImpossibleâGhost P…,Mission: Impossible
"May 5, 2006",Mission: Impossible
Mission: Impossible III,Mission: Impossible
"May 24, 2000",Mission: Impossible
Mission: Impossible 2,Mission: Impossible
"May 21, 1996",Mission: Impossible
Mission: Impossible,Mission: Impossible
"Oct 27, 2009",Peter Pan
Tinker Bell and the Lost Tr…,Peter Pan
"Nov 12, 2004",Peter Pan
Finding Neverland,Peter Pan
"Dec 25, 2003",Peter Pan
Peter Pan,Peter Pan
"Feb 15, 2002",Peter Pan
Peter Pan: Return to Neverland,Peter Pan
"Dec 11, 1991",Peter Pan
Hook,Peter Pan
Peter Pan,Peter Pan
"Jul 14, 2017",Planet of the Apes
War for the Planet of the Apes,Planet of the Apes
"Jul 11, 2014",Planet of the Apes
Dawn of the Planet of the Apes,Planet of the Apes
"Aug 5, 2011",Planet of the Apes
Rise of the Planet of the Apes,Planet of the Apes
"Jul 27, 2001",Planet of the Apes
Planet of the Apes,Planet of the Apes
Battle for the Planet of th…,Planet of the Apes
Conquest of the Planet of t…,Planet of the Apes
Escape from the Planet of t…,Planet of the Apes
Beneath the Planet of the Apes,Planet of the Apes
Planet of the Apes,Planet of the Apes
"Jul 19, 2019",The Lion King
The Lion King,The Lion King
The Lion King 1 1/2,The Lion King
The Lion King II: Simba's P…,The Lion King
"Jun 15, 1994",The Lion King
The Lion King,The Lion King
"Jul 2, 2021",Despicable Me
Minions: The Rise of Gru,Despicable Me
"Jun 30, 2017",Despicable Me
Despicable Me 3,Despicable Me
"Jul 10, 2015",Despicable Me
Minions,Despicable Me
"Jul 3, 2013",Despicable Me
Despicable Me 2,Despicable Me
"Jul 10, 2012",Despicable Me
Despicable Me Presents: Min…,Despicable Me
"Jul 9, 2010",Despicable Me
Despicable Me,Despicable Me
"May 20, 2005",Exorcist
Dominion: Prequel to the Ex…,Exorcist
"Aug 20, 2004",Exorcist
Exorcist: The Beginning,Exorcist
"Aug 17, 1990",Exorcist
The Exorcist III,Exorcist
"Jun 17, 1977",Exorcist
Exorcist II: The Heretic,Exorcist
The Exorcist,Exorcist
"May 19, 2017",Alien
Alien: Covenant,Alien
"Jun 8, 2012",Alien
Prometheus,Alien
"Dec 25, 2007",Alien
Aliens vs. Predator - Requiem,Alien
"Aug 13, 2004",Alien
AVP: Alien Vs. Predator,Alien
"Nov 26, 1997",Alien
Alien: Resurrection,Alien
"May 22, 1992",Alien
Alien 3,Alien
"Jul 18, 1986",Alien
Aliens,Alien
"May 25, 1979",Alien
Alien,Alien
"Jun 14, 2019",Men in Black
Men in Black: International,Men in Black
"May 25, 2012",Men in Black
Men in Black 3,Men in Black
"Sep 6, 2002",Men in Black
Spider-Man/Men in Black II …,Men in Black
"Jul 3, 2002",Men in Black
Men in Black 2,Men in Black
"Jul 1, 1997",Men in Black
Men in Black,Men in Black
"Nov 1, 2019",Terminator
Terminator: Dark Fate,Terminator
"Jul 1, 2015",Terminator
Terminator: Genisys,Terminator
