popularity,vote_count,id,genre_ids,title,vote_average,release_date
54.1,6273,tt0837562,"[16, 35, 10751, 14]",Hotel Transylvania,6.9,2012-09-20
59.321000000000005,1727,tt7984766,"[18, 36, 10752]",The King,7.2,2019-10-11
56.348,3060,tt3766354,"[53, 28, 80]",The Equalizer 2,6.5,2018-07-19
41.62,2867,tt2226417,"[27, 53]",Insidious: Chapter 2,6.6,2013-09-12
51.983000000000004,16281,tt0993846,"[80, 18, 35]",The Wolf of Wall Street,8.0,2013-12-25
56.525,7527,tt3731562,"[28, 12, 14]",Kong: Skull Island,6.4,2017-03-08
64.24600000000001,13945,tt2975590,"[28, 12, 14]",Batman v Superman: Dawn of Justice,5.9,2016-03-23
58.085,6203,tt2126355,"[28, 18, 53]",San Andreas,6.2,2015-05-27
51.743,1609,tt5719748,"[28, 80, 53]",Cold Pursuit,5.6,2019-02-07
58.536,199,tt3584496,"[14, 27, 9648, 53]",Mermaid Down,6.8,2019-10-15
48.239,132,tt3113696,"[14, 27]",Don't Kill It,6.3,2016-08-27
59.722,1872,tt4073790,"[28, 12, 18, 878, 53, 10749]",The Darkest Minds,7.0,2018-07-25
50.685,960,tt2473682,"[27, 53]",Paranormal Activity: The Marked Ones,5.4,2014-01-01
58.18600000000001,79,tt3541524,"[28, 80, 53]",Line of Duty,5.6,2019-12-25
53.06399999999999,55,tt4538670,"[28, 80, 18]",In Full Bloom,7.2,2019-06-19
50.111000000000004,241,tt10622136,"[12, 16, 35, 10751]",Scooby-Doo! Return to Zombie Island,7.2,2019-10-01
60.522,3509,tt6472976,"[18, 10749]",Five Feet Apart,8.3,2019-03-15
42.751000000000005,1476,tt2752772,[27],Sinister 2,5.8,2015-08-19
54.195,7114,tt4649466,"[28, 12, 35, 80, 53]",Kingsman: The Golden Circle,7.0,2017-09-20
56.074,240,tt8752498,"[28, 16, 14]",Wonder Woman: Bloodlines,7.1,2019-10-04
61.643,51,tt3920820,[18],Brian Banks,6.9,2019-08-09
58.275,4105,tt1636826,[35],Project X,6.7,2012-03-01
58.705,4982,tt0892791,"[35, 12, 14, 16, 10751]",Shrek Forever After,6.2,2010-05-16
55.56,678,tt5493944,"[12, 14, 10749, 18, 10751]",The Little Mermaid,5.0,2018-08-02
41.998000000000005,2029,tt1488606,"[28, 12, 80, 53]",Triple Frontier,6.3,2019-03-06
59.99,12911,tt2771200,"[10751, 14, 10749]",Beauty and the Beast,7.0,2017-03-16
61.034,2059,tt5052474,"[28, 80, 18, 53]",Sicario: Day of the Soldado,6.8,2018-06-27
56.31399999999999,292,tt5941692,[28],Miss Bala,6.4,2019-02-01
52.718,4143,tt3371366,"[28, 12, 14, 878]",Transformers: The Last Knight,6.0,2017-06-16
67.012,8476,tt2713180,"[10752, 18, 28]",Fury,7.5,2014-10-15
55.153,1003,tt6182908,"[16, 10751, 12, 14]",Smallfoot,6.8,2018-09-20
52.891000000000005,157,tt7338690,"[28, 12, 14]",The Scorpion King: Book of Souls,5.9,2018-10-23
60.07,1580,tt2279373,"[12, 35, 10751, 14, 16]",The SpongeBob Movie: Sponge Out of Water,6.0,2015-01-28
57.592,1082,tt5452780,"[12, 16, 35, 14, 10402, 10751]",Olaf's Frozen Adventure,6.3,2017-10-27
54.532,8041,tt2674426,"[18, 10749]",Me Before You,7.8,2016-06-01
58.961999999999996,6990,tt1646971,"[14, 28, 12, 16, 35, 10751]",How to Train Your Dragon 2,7.7,2014-06-09
53.513000000000005,3645,tt1213641,"[18, 36]",First Man,7.1,2018-10-11
58.446000000000005,1545,tt5523010,"[12, 14, 10751]",The Nutcracker and the Four Realms,6.1,2018-10-26
53.898999999999994,9353,tt1772341,"[10751, 16, 35, 12]",Wreck-It Ralph,7.3,2012-11-01
49.275,123,tt7832848,"[28, 53]",Inside Man: Most Wanted,6.7,2019-09-24
51.333999999999996,12561,tt1981115,"[28, 12, 14]",Thor: The Dark World,6.6,2013-10-29
55.778999999999996,5854,tt8946378,"[9648, 53, 35, 18, 80]",Knives Out,7.9,2019-11-27
38.472,448,tt1179069,"[27, 9648, 53]",6 Souls,5.9,2010-03-27
54.352,47,tt6237208,"[18, 10770]",From Straight A's to XXX,5.7,2017-02-11
52.442,166,tt3807900,"[28, 878, 53]",Death Race: Beyond Anarchy,6.3,2018-10-02
49.856,707,tt4158096,"[28, 80, 9648]",Free Fire,6.3,2017-03-31
45.361999999999995,118,tt7295450,"[28, 9648, 878, 53]",Between Worlds,5.1,2018-12-21
45.974,920,tt2402101,"[12, 18, 9648, 53]",Dark Places,5.9,2015-03-31
55.214,15602,tt2096673,"[18, 35, 16, 10751]",Inside Out,7.9,2015-06-09
55.007,11845,tt1877832,"[28, 12, 14, 878]",X-Men: Days of Future Past,7.5,2014-05-15
50.05,1209,tt3201640,"[28, 18, 878, 53]",Extinction,6.0,2018-07-26
46.52,679,tt10060094,"[35, 10749]",The Knight Before Christmas,6.6,2019-11-21
48.428999999999995,2053,tt4532826,"[28, 12, 53]",Robin Hood,5.9,2018-11-21
57.521,5531,tt3799232,"[35, 10749]",The Kissing Booth,7.3,2018-05-11
51.781000000000006,54,tt9382596,"[28, 27, 878, 53]",The Car: Road to Revenge,6.6,2019-01-08
53.332,3010,tt3281548,"[18, 10749]",Little Women,8.0,2019-12-25
48.56,667,tt0385887,"[18, 53]",Motherless Brooklyn,6.8,2019-10-31
50.33,532,tt7616798,"[18, 12, 10751]",A Dog's Way Home,6.9,2019-01-10
54.184,11919,tt5052448,"[9648, 53, 27]",Get Out,7.6,2017-02-24
48.21,654,tt3280262,"[27, 53]",Cult of Chucky,5.5,2017-10-23
58.443999999999996,15546,tt0800369,"[12, 14, 28]",Thor,6.8,2011-04-21
48.903,326,tt5670152,"[27, 53]",Traffik,6.3,2018-04-20
56.758,15068,tt2488496,"[28, 12, 878, 14]",Star Wars: The Force Awakens,7.4,2015-12-15
50.461999999999996,36,tt8652584,"[12, 37]",Hell on the Border,5.8,2019-12-13
52.775,11331,tt0816711,"[28, 18, 27, 878, 53]",World War Z,6.8,2013-06-20
54.225,3166,tt3416828,"[12, 16, 10751, 35]",Ice Age: Collision Course,6.0,2016-06-23
51.318000000000005,10375,tt1587310,"[28, 12, 14, 10749, 10751]",Maleficent,7.1,2014-05-28
51.736000000000004,960,tt3256226,[878],IO,4.8,2019-01-18
44.81399999999999,1857,tt5726086,"[9648, 27, 53]",Insidious: The Last Key,6.2,2018-01-03
49.558,66,tt8186318,[18],Overcomer,7.5,2019-08-22
55.643,7582,tt4046784,"[28, 878, 53]",Maze Runner: The Scorch Trials,6.7,2015-09-09
49.803999999999995,317,tt6494418,"[80, 10749, 53]",Siberia,4.9,2018-07-13
52.563,289,tt10767720,[10752],Jarhead: Law of Return,6.6,2019-10-01
47.378,6035,tt2798920,"[878, 27]",Annihilation,6.3,2018-02-22
47.897,4040,tt1959563,"[53, 35, 80, 28]",The Hitman's Bodyguard,6.8,2017-08-16
54.781000000000006,27499,tt1375666,"[28, 878, 12]",Inception,8.3,2010-07-15
50.965,1279,tt2872518,"[18, 14]",The Shack,7.3,2017-03-03
40.907,2076,tt2870612,"[27, 53]","As Above, So Below",6.6,2014-08-14
39.455999999999996,4440,tt3322940,[27],Annabelle,5.7,2014-10-02
55.59,3340,tt3717490,"[28, 12, 878]",Power Rangers,6.3,2017-03-23
36.565,819,tt2537176,"[53, 27, 80]",I Spit on Your Grave 2,6.4,2013-08-25
