id,popularity,vote_count,genre_ids,title,vote_average,release_date
tt2674426,51.94,8046,"[18, 10749]",me before you,7.8,2016-06-01
tt4538670,51.875,56,"[28, 80, 18]",in full bloom,7.1,2019-06-19
tt1956620,51.869,3242,[35],sex tape,5.4,2014-07-17
tt6237208,51.825,47,"[18, 10770]",from straight as to xxx,5.7,2017-02-11
tt0120737,51.803,17942,"[12, 14, 28]",the lord of the rings the fellowship of the ring,8.3,2001-12-18
tt0837562,51.77,6276,"[16, 35, 10751, 14]",hotel transylvania,6.9,2012-09-20
tt7424200,51.644,765,"[16, 28, 35, 878]",teen titans go! to the movies,7.4,2018-07-27
tt5140878,51.31800000000001,4039,"[27, 9648, 53]",annabelle creation,6.6,2017-08-03
tt7616798,51.276,533,"[18, 12, 10751]",a dogs way home,6.9,2019-01-10
tt0878804,51.197,3972,[18],the blind side,7.6,2009-11-20
tt3183660,51.192,14619,"[12, 14]",fantastic beasts and where to find them,7.4,2016-11-16
tt1528100,51.152,3469,"[12, 18, 28]",exodus gods and kings,5.8,2014-12-03
tt3778644,51.067,5716,"[12, 878]",solo a star wars story,6.6,2018-05-15
tt2543472,51.034,5808,"[18, 10751]",wonder,8.2,2017-11-13
tt1300854,51.006,16796,"[28, 12, 878]",iron man 3,6.9,2013-04-18
tt1772341,50.99,9355,"[10751, 16, 35, 12]",wreckit ralph,7.3,2012-11-01
tt4532826,50.988,2054,"[28, 12, 53]",robin hood,5.9,2018-11-21
tt4877122,50.881,2157,"[16, 35, 10751]",the emoji movie,5.6,2017-07-23
tt10622136,50.812,241,"[12, 16, 35, 10751]",scoobydoo! return to zombie island,7.2,2019-10-01
tt5606664,50.724,2246,"[27, 18, 14, 53]",doctor sleep,7.1,2019-10-30
tt1587310,50.70399999999999,10377,"[28, 12, 14, 10749, 10751]",maleficent,7.1,2014-05-28
tt0198781,50.523,13342,"[16, 35, 10751]",monsters inc,7.8,2001-11-01
tt2316204,50.369,6037,"[27, 878]",alien covenant,6.0,2017-05-09
tt3513498,50.234,1276,"[28, 12, 16, 35, 10751]",the lego movie 2 the second part,6.7,2019-01-26
tt1298650,50.16,10361,"[12, 28, 14]",pirates of the caribbean on stranger tides,6.5,2011-05-14
tt0948470,50.121,12276,"[28, 12, 14]",the amazing spiderman,6.6,2012-06-23
tt0167260,50.027,16475,"[12, 14, 28]",the lord of the rings the return of the king,8.5,2003-12-01
tt4244998,49.79,1752,"[12, 18]",alpha,6.3,2018-08-17
tt0478970,49.77,14670,"[878, 28, 12]",antman,7.1,2015-07-14
tt3110958,49.714,8274,"[28, 35, 53]",now you see me 2,6.8,2016-06-02
tt1228705,49.691,15101,"[28, 12, 878]",iron man 2,6.8,2010-04-28
tt6643972,49.673,351,"[53, 28]",triple threat,6.4,2019-03-19
tt9382596,49.643,55,"[28, 27, 878, 53]",the car road to revenge,6.6,2019-01-08
tt7831358,49.595,76,"[53, 35, 27]",harpoon,6.2,2019-01-24
tt8186318,49.585,67,[18],overcomer,7.5,2019-08-22
tt4007502,49.526,1382,"[12, 16, 10751]",frozen fever,6.8,2015-03-09
tt1790809,49.26600000000001,8701,"[12, 28, 14, 35]",pirates of the caribbean dead men tell no tales,6.6,2017-05-23
tt6645614,49.247,329,"[12, 16, 35, 14, 10402, 10751, 10770]",trolls holiday,6.7,2017-11-01
tt1267297,49.05,3093,"[28, 12]",hercules,5.7,2014-07-23
tt0434409,49.047,10322,"[28, 53, 14]",v for vendetta,7.9,2006-02-23
tt8752440,48.93899999999999,417,"[28, 16, 80, 9648]",batman hush,7.3,2019-07-19
tt1979388,48.885,3967,"[12, 16, 10751]",the good dinosaur,6.8,2015-11-14
tt3584496,48.826,199,"[14, 27, 9648, 53]",mermaid down,6.8,2019-10-15
tt2582802,48.761,10292,"[18, 10402]",whiplash,8.4,2014-10-10
tt4790268,48.576,285,"[28, 18]",never back down no surrender,6.8,2016-06-07
tt0385887,48.533,668,"[18, 53]",motherless brooklyn,6.8,2019-10-31
tt1413492,48.528,1934,"[28, 18, 36, 10752]",12 strong,6.0,2018-01-16
tt4158096,48.49100000000001,707,"[28, 80, 9648]",free fire,6.3,2017-03-31
tt0816711,48.471,11334,"[28, 18, 27, 878, 53]",world war z,6.8,2013-06-20
tt1411697,48.469,7677,[35],the hangover part ii,6.4,2011-05-25
tt1029360,48.433,1781,"[27, 53]",poltergeist,5.2,2015-05-20
tt1261978,48.326,617,"[27, 53]",wrong turn 3 left for dead,5.5,2009-10-20
tt2911666,48.313,13399,"[28, 53]",john wick,7.3,2014-10-22
tt0372784,48.229,15128,"[28, 80, 18]",batman begins,7.7,2005-06-10
tt0167261,48.22,15497,"[28, 12, 14]",the lord of the rings the two towers,8.3,2002-12-18
