id,studio,rating,budget,dom_gross,world_gross
tt0345950,Paramount Pictures,PG,30000000.0,85417988.0,141067127.0
tt0281358,Warner Bros.,PG,11800000.0,41281092.0,47494916.0
tt2828996,Open Road Films (II),R,4000000.0,17329486.0,25358716.0
tt0413300,Sony Pictures Entertainment (SPE),PG-13,258000000.0,336530303.0,894983373.0
tt1667889,Twentieth Century Fox,PG,95000000.0,161321843.0,877244782.0
tt3469046,Universal Pictures,PG,80000000.0,264624300.0,1034800131.0
tt3766354,Sony Pictures Entertainment (SPE),R,62000000.0,102084362.0,190400157.0
tt0170016,Universal Pictures,PG,123000000.0,260044825.0,345141403.0
tt2109248,Paramount Pictures,PG-13,210000000.0,245439076.0,1104054072.0
tt3717252,Screen Gems,R,35000000.0,30353973.0,81093313.0
tt0770828,Warner Bros.,PG-13,225000000.0,291045518.0,668045518.0
tt0829482,Sony Pictures Entertainment (SPE),R,20000000.0,121463226.0,170812526.0
tt1488606,,R,,,
tt0974959,,R,,,
tt0367594,Warner Bros.,PG,150000000.0,206459076.0,474968763.0
tt3416828,Twentieth Century Fox,PG,105000000.0,64063008.0,408754975.0
tt0803096,Universal Pictures,PG-13,160000000.0,47365290.0,439048914.0
tt3076658,Warner Bros.,PG-13,35000000.0,109767581.0,173567581.0
tt1375666,Warner Bros.,PG-13,160000000.0,292576195.0,836836967.0
tt5719748,Lionsgate,R,60000000.0,32138862.0,76419755.0
tt10060094,,0,,,
tt0398286,Walt Disney Studios Motion Pictures,PG,260000000.0,200821936.0,592461732.0
tt3807900,,R,,,
tt0295700,Twentieth Century Fox,R,12600000.0,15418790.0,28650575.0
tt1293847,Paramount Pictures,PG-13,85000000.0,44898413.0,346118277.0
tt3890160,TriStar Pictures,R,34000000.0,107825862.0,226945087.0
tt2543164,Paramount Pictures,PG-13,47000000.0,100546139.0,203388186.0
tt0903624,Warner Bros.,PG-13,,303003568.0,1017003568.0
tt1170358,Warner Bros.,PG-13,,258366855.0,958366855.0
tt7338690,,PG-13,,,
tt1946502,STX Entertainment,PG,45000000.0,20150241.0,32450241.0
tt0804516,Summit Entertainment,R,,3995018.0,7766240.0
tt2935510,Twentieth Century Fox,PG-13,90000000.0,50188370.0,127461872.0
tt8783146,,0,,,
tt0892769,DreamWorks,PG,165000000.0,217581231.0,494878759.0
tt2120120,Sony Pictures Entertainment (SPE),PG-13,88000000.0,78747585.0,244874809.0
tt1877832,Twentieth Century Fox,PG-13,200000000.0,233921534.0,746045700.0
tt1023111,Summit Entertainment,PG-13,20000000.0,24850922.0,41627431.0
tt3201640,,0,,,1451864.0
tt0455760,Universal Pictures,R,20000000.0,16809076.0,22382047.0
tt0455944,Sony Pictures Entertainment (SPE),R,55000000.0,101530738.0,192330738.0
tt1865567,,R,,,
tt2379713,Sony Pictures Entertainment (SPE),PG-13,245000000.0,200074609.0,880674609.0
tt7131622,Sony Pictures Entertainment (SPE),R,90000000.0,142502728.0,374343626.0
tt0175142,Miramax,R,19000000.0,157019771.0,278019771.0
tt1407050,,R,,,
tt6193408,,G,,,43091796.0
tt5670152,Lionsgate,R,,9186156.0,9515914.0
tt3289956,IFC Films,R,,10474.0,6170043.0
tt1217209,Walt Disney Studios Motion Pictures,PG,185000000.0,237283207.0,538983207.0
tt0377309,,0,,,558764.0
tt0266543,Walt Disney Studios Motion Pictures,G,94000000.0,380843261.0,940350194.0
tt0808146,,R,,,
tt0413267,DreamWorks,PG,160000000.0,322719944.0,813367380.0
tt2473682,Paramount Pictures,R,5000000.0,32462372.0,90894962.0
tt0390384,THINKFilm,PG-13,7000.0,424760.0,545436.0
tt1618442,Lionsgate,PG-13,90000000.0,27367660.0,146936910.0
tt3113696,,0,,,8196.0
tt6494418,,R,,,636366.0
tt2872518,Lionsgate,PG-13,,57386418.0,96942115.0
tt0382932,Walt Disney Studios Motion Pictures,G,150000000.0,206445654.0,623726085.0
tt1823672,Sony Pictures Entertainment (SPE),R,49000000.0,31569268.0,102811889.0
tt0329101,New Line Cinema,R,30000000.0,82622655.0,116632628.0
tt1661199,Walt Disney Studios Motion Pictures,PG,95000000.0,201151353.0,542351353.0
tt10006006,,0,,,
tt1229238,Paramount Pictures,PG-13,145000000.0,209397903.0,694713380.0
tt1131734,Twentieth Century Fox,R,16000000.0,16204793.0,31556061.0
tt1591095,FilmDistrict,PG-13,1500000.0,54009150.0,99557032.0
tt1397280,Twentieth Century Fox,PG-13,45000000.0,139854287.0,376152455.0
tt3522806,Lionsgate,R,,21218403.0,125729635.0
tt2179136,Warner Bros.,R,58800000.0,350126372.0,547426372.0
tt1365519,Warner Bros.,PG-13,94000000.0,58250803.0,274650803.0
tt2375779,,R,,,
tt0758746,Warner Bros.,R,19000000.0,65002019.0,91509154.0
tt1049413,Walt Disney Studios Motion Pictures,PG,175000000.0,293004164.0,735099102.0
tt8652584,,R,,,
tt3138192,,PG,,,
tt1216475,Walt Disney Studios Motion Pictures,G,200000000.0,191452396.0,559852396.0
tt0435761,Walt Disney Studios Motion Pictures,G,200000000.0,415004880.0,1066969703.0
tt1148204,Warner Bros.,R,,41596251.0,77912251.0
tt8663516,United Artists Releasing,R,10000000.0,29208403.0,44907074.0
tt2402101,A24,R,,208588.0,5090852.0
tt5792656,,R,,,111218.0
tt1179069,RADiUS-TWC,R,,,3205167.0
